batter,total_runs,balls_faced,innings,strike_rate,avg_runs_per_match
A Ashish Reddy,280,196,23,142.86,12.17
A Badoni,634,505,35,125.54,18.11
A Manohar,231,181,15,127.62,15.4
A Mishra,381,440,55,86.59,6.93
A Raghuvanshi,163,109,7,149.54,23.29
A Symonds,974,781,36,124.71,27.06
AA Jhunjhunwala,217,218,15,99.54,14.47
AB Agarkar,179,160,18,111.87,9.94
AB McDonald,123,103,9,119.42,13.67
AB de Villiers,5181,3487,170,148.58,30.48
AC Gilchrist,2069,1555,80,133.05,25.86
AC Voges,181,143,7,126.57,25.86
AD Hales,148,119,6,124.37,24.67
AD Mathews,724,599,41,120.87,17.66
AD Russell,2488,1515,104,164.22,23.92
AJ Finch,2092,1696,90,123.35,23.24
AK Markram,995,787,42,126.43,23.69
AL Menaria,401,367,23,109.26,17.43
AM Nayar,672,588,50,114.29,13.44
AM Rahane,4642,3858,171,120.32,27.15
AP Tare,339,285,27,118.95,12.56
AR Patel,1653,1318,112,125.42,14.76
AS Raut,194,172,16,112.79,12.12
AT Rayudu,4348,3490,185,124.58,23.5
Abdul Samad,579,408,39,141.91,14.85
Abhishek Sharma,1377,925,61,148.86,22.57
Abishek Porel,360,244,16,147.54,22.5
Aman Hakim Khan,115,109,10,105.5,11.5
Anmolpreet Singh,139,117,9,118.8,15.44
Anuj Rawat,318,276,21,115.22,15.14
Ashutosh Sharma,189,118,9,160.17,21.0
Atharva Taide,247,177,9,139.55,27.44
Azhar Mahmood,388,311,21,124.76,18.48
B Chipli,280,256,21,109.38,13.33
B Kumar,306,338,65,90.53,4.71
B Lee,124,102,19,121.57,6.53
B Sai Sudharsan,1034,770,25,134.29,41.36
BA Stokes,935,718,43,130.22,21.74
BB McCullum,2882,2272,109,126.85,26.44
BB Samantray,125,116,8,107.76,15.62
BCJ Cutting,238,146,17,163.01,14.0
BJ Hodge,1400,1153,63,121.42,22.22
BJ Rohrer,193,146,8,132.19,24.12
Bipul Sharma,187,124,17,150.81,11.0
C Green,707,472,28,149.79,25.25
C Munro,177,144,11,122.92,16.09
