bowler,runs_conceded,balls_bowled,wickets,matches,economy,bowling_avg,bowling_sr
A Ashish Reddy,400,270,19,20,8.89,21.05,14.21
A Chandila,245,234,11,12,6.28,22.27,21.27
A Kumble,1089,983,49,42,6.65,22.22,20.06
A Mishra,4193,3444,183,162,7.3,22.91,18.82
A Mithun,477,312,8,16,9.17,59.62,39.0
A Nehra,2537,1974,121,88,7.71,20.97,16.31
A Nortje,1614,1097,62,46,8.83,26.03,17.69
A Singh,639,486,31,23,7.89,20.61,15.68
A Symonds,694,540,23,30,7.71,30.17,23.48
A Zampa,562,425,30,20,7.93,18.73,14.17
AA Chavan,339,255,8,13,7.98,42.38,31.88
AB Agarkar,1174,820,33,42,8.59,35.58,24.85
AB Dinda,2103,1589,82,75,7.94,25.65,19.38
AB McDonald,263,188,14,10,8.39,18.79,13.43
AC Thomas,416,327,16,15,7.63,26.0,20.44
AD Mascarenhas,365,310,19,13,7.06,19.21,16.32
AD Mathews,1095,807,28,44,8.14,39.11,28.82
AD Russell,2691,1771,125,112,9.12,21.53,14.17
AF Milne,339,217,9,10,9.37,37.67,24.11
AG Murtaza,322,269,12,12,7.18,26.83,22.42
AJ Tye,1005,714,48,30,8.45,20.94,14.88
AK Markram,173,123,2,14,8.44,86.5,61.5
AM Nayar,323,239,9,19,8.11,35.89,26.56
AM Salvi,205,156,7,7,7.88,29.29,22.29
AN Ahmed,515,362,15,17,8.54,34.33,24.13
AR Patel,3824,3152,131,148,7.28,29.19,24.06
AS Joseph,707,454,22,22,9.34,32.14,20.64
AS Rajpoot,844,567,24,29,8.93,35.17,23.62
AS Roy,191,142,6,9,8.07,31.83,23.67
Abhishek Sharma,396,278,11,26,8.55,36.0,25.27
Akash Deep,324,175,8,8,11.11,40.5,21.88
Akash Madhwal,431,279,22,13,9.27,19.59,12.68
Akash Singh,227,141,5,7,9.66,45.4,28.2
Anand Rajan,206,162,10,8,7.63,20.6,16.2
Ankit Sharma,453,375,12,21,7.25,37.75,31.25
Anureet Singh,636,430,21,22,8.87,30.29,20.48
Arshad Khan,282,153,6,9,11.06,47.0,25.5
Arshdeep Singh,2097,1453,84,65,8.66,24.96,17.3
Avesh Khan,2010,1390,81,62,8.68,24.81,17.16
Azhar Mahmood,707,552,31,23,7.68,22.81,17.81
Azmatullah Omarzai,194,131,4,7,8.89,48.5,32.75
B Akhil,246,193,7,13,7.65,35.14,27.57
B Kumar,5051,4060,195,176,7.46,25.9,20.82
B Laughlin,284,179,10,9,9.52,28.4,17.9
B Lee,1126,916,30,38,7.38,37.53,30.53
B Stanlake,200,150,7,6,8.0,28.57,21.43
BA Bhatt,408,303,13,15,8.08,31.38,23.31
BA Stokes,1023,723,31,38,8.49,33.0,23.32
BAW Mendis,306,248,9,10,7.4,34.0,27.56
BB Sran,767,516,20,24,8.92,38.35,25.8
BCJ Cutting,430,288,12,17,8.96,35.83,24.0
BE Hendricks,239,157,11,7,9.13,21.73,14.27
BJ Hodge,310,238,18,20,7.82,17.22,13.22
BW Hilfenhaus,497,390,23,17,7.65,21.61,16.96
Basil Thampi,862,539,26,25,9.6,33.15,20.73
Bipul Sharma,581,436,22,28,8.0,26.41,19.82
C Green,675,462,20,29,8.77,33.75,23.1
C Sakariya,610,460,20,19,7.96,30.5,23.0
C de Grandhomme,323,230,7,19,8.43,46.14,32.86
CH Gayle,755,584,19,38,7.76,39.74,30.74
CH Morris,2377,1801,107,81,7.92,22.21,16.83
CJ Anderson,525,315,14,22,10.0,37.5,22.5
CJ Jordan,1111,717,36,34,9.3,30.86,19.92
CK Langeveldt,199,165,13,7,7.24,15.31,12.69
CR Brathwaite,384,266,16,16,8.66,24.0,16.62
CR Woakes,674,463,31,21,8.73,21.74,14.94
CRD Fernando,306,249,19,10,7.37,16.11,13.11
CV Varun,2042,1624,85,70,7.54,24.02,19.11
D Pretorius,242,166,7,7,8.75,34.57,23.71
D Wiese,447,307,17,15,8.74,26.29,18.06
DE Bollinger,716,600,43,27,7.16,16.65,13.95
DJ Bravo,4436,3296,207,158,8.08,21.43,15.92
DJ Hooda,535,384,10,33,8.36,53.5,38.4
DJ Hussey,485,323,10,26,9.01,48.5,32.3
DJ Willey,277,221,7,11,7.52,39.57,31.57
DJG Sammy,354,244,14,19,8.7,25.29,17.43
DL Chahar,2243,1746,79,81,7.71,28.39,22.1
DL Vettori,894,785,34,34,6.83,26.29,23.09
DP Nannes,815,689,38,29,7.1,21.45,18.13
DP Vijaykumar,205,159,4,9,7.74,51.25,39.75
DR Sams,528,389,15,16,8.14,35.2,25.93
DR Smith,825,557,27,46,8.89,30.56,20.63
DS Kulkarni,2513,1876,91,92,8.04,27.62,20.62
DT Christian,1218,922,40,49,7.93,30.45,23.05
DW Steyn,2583,2282,105,95,6.79,24.6,21.73
FH Edwards,160,150,6,6,6.4,26.67,25.0
